जबकि यह जैनों से कम है।	Jabki yah Jainon se km hai.
जैसा कि फाल्कनर के "एडवरटाइसमेन्ट टू द रीडर" में प्रकट होता है, फाल्कनर को मोट्टे के काम की एक व्याख्यात्मक प्रतिलिपि "लेखक के एक मित्र" के माध्यम से उपलब्ध हो गयी थी (ऐसा मन जाता है कि वे स्विफ्ट के मित्र चार्ल्स फोर्ड थे) जिसने हस्तलिपि के अधिकांश हिस्से को मोट्टे के संशोधनों से मुक्त रखा, मूल हस्तलिपि को नष्ट कर दिया गया।	jaisa ki Falkanar ke "Advertisement to the reader" men prakat hota hai, Falkanar ko motte ke kaam ki ek vyakhyatmak pratilipi "Lekhak ke ek mitr" ke madhyam se uplabdh ho gai thi (aisa mana jata hai ki we swift ke mitr Charls Ford the) jisne hastlipi ke adhikansh hisse ko motte ke sanshodhanon se mukt rakha, mul Hastlipi ko nasht kar diya gaya.
इन पात्रों को कार्बाधिशोषण भट्ठियों किया जाता है।	in patron ko Karbadhishoshan Bhattiyon kiya jata hai.
एक बार वह एक गांव में गए।	ek baar wah ek gaon men gaye.
चुराये गये रुपयों से उन्होंने उपन्यास आदि खरीदकर पढ़ना प्रारम्भ कर दिया एवं सिगरेट पीने व भाँग चढ़ाने की आदत भी पड़ गयी थी।	churaye gaye rupyon se unhone Upnyaas aadi kharidakar padhana prarambh kar diya avm Sigaret peene v bhagng chadhane ki aadat bhi pad gayi thi.
दिल्ली व निकटतम इलाकों मे घोसी शब्द ऐतिहासिक रूप से हिन्दू व मुस्लिम समुदायों के दुग्ध-व्यवसायियों से संबन्धित है।	Delhi v nikattam ilakon me Ghosi shabd aitihasik roop se Hindu v Muslim samudayon ke Dgdh-vyavsayiyon se sambndhit hai.
मेघदूत के श्लोक 'रक्ताशोकश्चलकिसलय:' से पता चलता है कि अशोक पर पदाघात बाएँ चरणद्वारा किया जाता था।	Meghdoot ke shlok 'Raktashokshchalkislay:' se pata chalta hai ki Ashok par padaghat bayen charandwara kiya jata tha.
श्रेणीःराजनयज्ञ	Shreni:Rajanyadhny
कनेर का मुख्य विषैला परिणाम हृदय की मांसपेशियों पर होता है।	Kaner ka mukhy vishaila parinaam hrady ki manspeshiyon par hota hai.
पिट्सबर्ग पाइरेट्स, एक प्रसिद्ध बेसबॉल टीम है, जो पिट्सबर्ग में आधारित है।	Petersburg Pirates, ek prasiddh Besboll team hai, jo Petersburg men aadharit hai.
उन्होंने १९८६ में नासा अंतरिक्ष यात्री कॉर्प्स में प्रवेश किया और २००१ में वह सेवानिवृत्त हो गई।	unhone 1986 men Nasa Antriksh yatri corps men pravesh kiya aur 2001 men wah Sevanivrutt ho gai.
समय की प्रगति के साथ गद्य और पद्य दोनों रूपों में खड़ी बोली का पर्याप्त विकास हुआ।	samay ki pragti ke sath Gady aur Pady donon roopon men khadi boli ka prayapt vikas hua.
उर्दू भाषा दृश्य पर दिखाई दिया जब बाद में, अपने अस्तित्व भी शिलालेख में दर्ज की गई थी।	Urdu bhasha drushy par dikhai diya jab baad men, apne astitw bhi Shilalekh men darj ki gai thi.
इस प्रकार इस नदी पर 2 बाँध बने हुये हैँ।	is prakar is Nadi par 2 bandh bane huye hain.
ब्राह्मणी ने सोंचा अब ये चने रात मे नही खाऊँगी प्रात:काल वासुदेव को भोग लगाकर तब खाऊँगी।	Brahmani ne socha ab ye Chane raat me nahi khaungi prant:kaal Wasudev ko bhog lagakar tab khaungi.
सॉली कूपर एक ऑस्ट्रेलियाई महिला क्रिकेट टीम की पूर्व महिला क्रिकेट खिलाड़ी है, जिन्होंने ऑस्ट्रेलिया के लिए २००० के दशक में एक दिवसीय अंतर्राष्ट्रीय मैच और टेस्ट क्रिकेट मैच खेला करती थी।	Swoli Kapoor ek Austreliyai Mahila cricket team ki purv Mahila Cricket khiladi hai, jinhone Austreliya ke liye 2000 ke dashak men ek divsiy Antarrashtriy Match aur Test Cricket match khela karti thi.
प्रबंध जैसा आनंद कहना उचित नहीं है.	Prabandh jaisa Anand kahna uchit nahin hai.
जवाहरलाल नेहरु कृषि विश्वविद्यालय, मध्य प्रदेश के जबलपुर में स्थित एक कृषि विश्वविद्यालय है।	Jawaharlal Nehru krishi Vishwavidyalay, Madhya Pradesh ke Jabalpur men sthit ek krishi Vishwavidyalay hai.
